subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
2,motor,2755,3137,1.1877,7.5205,251,382,382
2,motor,3280,3419,1.5373,7.4578,275,139,139
2,motor,3852,4347,1.8476,9.0375,348,495,495
2,motor,4327,4493,1.8549,8.4977,324,166,166
2,auditory,2000,2930,0.00095117,0.44386,0,930,930
2,auditory,2500,3272,0.0009951,0.90397,0,772,772
2,auditory,1000,1363,0.00044658,0.89591,0,363,363
2,auditory,1500,1854,0.00068623,0.42967,0,354,354
2,auditory,1500,1346,0.00088792,0.8432,0,-154,154
2,auditory,2000,2302,0.00048003,1.4999,0,302,302
2,auditory,3500,4122,0.00086935,1.2314,0,622,622
2,auditory,4000,5103,0.0012935,1.2308,0,1103,1103
2,auditory,4000,4614,0.0018395,4.1408,0,614,614
2,auditory,1000,1040,0.00032072,0.27755,0,40,40
2,auditory,3000,3272,0.00083652,3.7947,0,272,272
2,auditory,3500,4052,0.0011862,1.9926,0,552,552
2,auditory,2500,3005,0.00048675,1.6846,0,505,505
2,auditory,3000,3305,0.0017643,0.93471,0,305,305
2,motor,3339,3395,1.2484,7.69,335,56,56
2,motor,3745,3579,1.4817,7.1046,241,-166,166
2,motor,4276,4490,1.9176,9.113,272,214,214
2,motor,1350,1363,0.39091,1.961,346,13,13
2,motor,1808,2484,0.58129,2.6921,305,676,676
2,motor,2741,2527,1.2104,6.0195,237,-214,214
2,motor,3266,3259,1.2887,4.9681,263,-7,7
2,motor,2296,3148,1.007,4.3321,292,852,852
2,motor,2731,3944,1.0113,4.462,228,1213,1213
2,motor,1856,2397,0.54067,2.1976,351,541,541
2,motor,2276,3107,0.75694,2.2908,272,831,831
2,motor,4287,4677,1.6452,6.3469,283,390,390
2,motor,1303,1734,0.42356,2.3557,299,431,431
2,audiomotor,2296,2864,0.99058,5.4633,293,568,568
2,audiomotor,2678,3423,1.2836,6.3023,175,745,745
2,audiomotor,2736,3948,1.2025,5.4195,231,1212,1212
2,audiomotor,3267,4250,1.4467,7.3473,262,983,983
2,audiomotor,4221,4932,2.0827,8.6415,216,711,711
2,audiomotor,1291,131,0.47347,2.5131,287,-1160,1160
2,audiomotor,1310,2291,0.51992,3.1788,306,981,981
2,audiomotor,1777,2130,0.65991,3.2363,273,353,353
2,audiomotor,3746,3566,1.5541,7.6849,241,-180,180
2,audiomotor,4313,4351,1.9881,9.1342,308,38,38
2,audiomotor,3273,2557,1.4982,6.4995,268,-716,716
2,audiomotor,3840,3593,1.7997,8.3242,336,-247,247
2,audiomotor,1781,1400,0.63101,3.2637,278,-381,381
2,audiomotor,2246,2873,1.059,6.2516,241,627,627
3,motor,1078,1736,0.27988,0.57858,75,658,658
3,motor,1825,1226,0.34663,1.39,321,-599,599
3,motor,3062,3535,0.72639,1.8429,57,473,473
3,motor,3594,3887,0.73429,3.4501,90,293,293
3,motor,4071,3984,0.80464,3.1275,68,-87,87
3,motor,1345,1188,0.21219,0.65117,340,-157,157
3,motor,2653,2500,0.56239,2.5286,149,-153,153
3,motor,3272,4279,0.75547,2.8041,269,1007,1007
3,motor,1557,1794,0.34053,1.4579,54,237,237
3,motor,2615,1558,0.61003,2.3113,612,-1057,1057
3,motor,3830,4610,0.91607,3.536,327,780,780
3,motor,4120,3819,0.78458,3.266,116,-301,301
3,motor,2104,2163,0.46879,1.6121,101,59,59
3,motor,2576,2679,0.61788,3.3013,71,103,103
3,audiomotor,3089,2891,0.58885,2.2139,85,-198,198
3,audiomotor,3719,4978,0.80687,3.0735,216,1259,1259
3,audiomotor,1272,1810,0.2186,0.94417,268,538,538
3,audiomotor,1635,2206,0.33051,1.3676,130,571,571
3,audiomotor,2088,2440,0.47109,1.6558,83,352,352
3,audiomotor,2598,2446,0.52785,2.1438,95,-152,152
3,audiomotor,2565,2988,0.65826,2.2124,61,423,423
3,audiomotor,3087,2594,0.66298,2.5055,82,-493,493
3,audiomotor,1806,78,0.45367,1.9062,301,-1728,1728
3,audiomotor,2495,2514,0.40307,1.711,492,19,19
3,audiomotor,4080,5497,0.92706,2.9233,76,1417,1417
3,audiomotor,1291,1095,0.20444,1.0741,287,-196,196
3,audiomotor,3530,2514,0.69832,2.3902,26,-1016,1016
3,audiomotor,4055,3967,0.8669,3.2787,50,-88,88
3,auditory,3500,4004,0.00070794,0.9884,0,504,504
3,auditory,4000,4615,0.00078616,6.4277,0,615,615
3,auditory,3000,3367,0.00031301,2.0158,0,367,367
3,auditory,3500,3958,0.00049217,3.4211,0,458,458
3,auditory,2000,2134,0.00024183,1.1322,0,134,134
3,auditory,2500,2342,0.00035347,2.3853,0,-158,158
3,auditory,4000,3391,0.00059599,2.078,0,-609,609
3,auditory,1000,985,0.00072577,1.4448,0,-15,15
3,auditory,1000,1235,0.00020938,0.64085,0,235,235
3,auditory,1500,245,0.00021494,0.79875,0,-1255,1255
3,auditory,2500,2288,0.00039464,2.6711,0,-212,212
3,auditory,3000,3111,0.0026548,2.6793,0,111,111
3,auditory,1500,1547,0.00023956,1.1208,0,47,47
3,auditory,2000,2515,0.00034817,0.64619,0,515,515
3,audiomotor,1063,1490,0.19919,0.38242,60,427,427
3,audiomotor,1560,2054,0.32435,0.87196,56,494,494
3,audiomotor,4039,5108,0.84626,1.704,35,1069,1069
3,audiomotor,1189,1311,0.15829,0.42649,185,122,122
3,audiomotor,2256,2725,0.44383,1.3234,252,469,469
3,audiomotor,2963,3119,0.64097,1.5055,460,156,156
3,audiomotor,3043,3297,0.53845,1.4067,39,254,254
3,audiomotor,3587,3559,0.72094,1.544,83,-28,28
3,audiomotor,3678,3496,0.65915,2.5094,175,-182,182
3,audiomotor,4062,5339,0.84253,2.6294,57,1277,1277
3,audiomotor,1551,1734,0.33718,0.85939,48,183,183
3,audiomotor,2119,2542,0.42567,2.0537,116,423,423
3,audiomotor,2759,2880,0.59496,1.8772,255,121,121
3,audiomotor,3045,3438,0.7138,2.118,40,393,393
3,motor,2434,2038,0.41283,1.2703,431,-396,396
3,motor,2743,2560,0.80171,2.2908,239,-183,183
3,motor,1605,2410,0.40664,1.5819,101,805,805
3,motor,2203,2120,0.50729,1.5254,200,-83,83
3,motor,3172,3360,0.71479,2.7987,168,188,188
3,motor,3682,3911,0.87122,2.9618,178,229,229
3,motor,1145,1240,0.20145,0.7476,141,95,95
3,motor,1799,2174,0.33416,1.1973,294,375,375
3,motor,2698,2874,0.5157,1.9723,194,176,176
3,motor,3230,4294,0.90271,3.567,226,1064,1064
3,motor,4458,4423,0.81669,2.8229,453,-35,35
